chr	gene_id	gene_name	start	end	gene_type
1	ENSG00000240409.1	MTATP8P1	568915	569121	pseudogene
1	ENSG00000248527.1	MTATP6P1	569076	569756	pseudogene
1	ENSG00000198744.5	RP5-857K21.11	569756	570302	pseudogene
1	ENSG00000268663.1	WBP1LP6	610222	610645	pseudogene
1	ENSG00000185097.2	OR4F16	621059	622053	protein_coding
1	ENSG00000229376.3	CICP3	657472	660283	pseudogene
1	ENSG00000224956.5	RP11-206L10.1	661611	663527	pseudogene
1	ENSG00000235373.1	RP11-206L10.3	677193	685396	lincRNA
1	ENSG00000223181.1	RNU6-1199P	693613	693716	snRNA
1	ENSG00000240618.1	RP11-206L10.5	694412	700305	lincRNA
1	ENSG00000229905.1	RP11-206L10.4	696291	697369	antisense
1	ENSG00000228327.2	RP11-206L10.2	700237	714006	lincRNA
1	ENSG00000237491.3	RP11-206L10.9	714162	745440	lincRNA
1	ENSG00000230092.3	RP11-206L10.8	736259	745541	pseudogene
1	ENSG00000269831.1	AL669831.1	738532	739137	protein_coding
1	ENSG00000240453.1	RP11-206L10.10	745489	753092	processed_transcript
1	ENSG00000177757.1	FAM87B	752751	755214	lincRNA
1	ENSG00000225880.4	LINC00115	761586	762902	lincRNA
1	ENSG00000228794.3	RP11-206L10.11	762988	794826	processed_transcript
1	ENSG00000230368.2	FAM41C	803451	812283	lincRNA
1	ENSG00000234711.1	TUBB8P11	808672	809729	pseudogene
1	ENSG00000269308.1	AL645608.2	818043	819983	protein_coding
1	ENSG00000272438.1	RP11-54O7.16	840214	851356	lincRNA
1	ENSG00000230699.2	RP11-54O7.1	846815	850328	lincRNA
1	ENSG00000241180.1	RP11-54O7.2	849551	850351	lincRNA
1	ENSG00000223764.1	RP11-54O7.3	852250	855072	lincRNA
1	ENSG00000187634.6	SAMD11	860260	879955	protein_coding
1	ENSG00000268179.1	AL645608.1	861264	866445	protein_coding
1	ENSG00000188976.6	NOC2L	879584	894689	protein_coding
1	ENSG00000187961.9	KLHL17	895967	901095	protein_coding
1	ENSG00000187583.5	PLEKHN1	901877	911245	protein_coding
1	ENSG00000187642.5	C1orf170	910579	917497	protein_coding
1	ENSG00000272512.1	RP11-54O7.17	931346	933431	lincRNA
1	ENSG00000188290.6	HES4	934342	935552	protein_coding
1	ENSG00000231702.2	RP11-54O7.10	943456	943609	pseudogene
1	ENSG00000224969.1	RP11-54O7.11	947377	948573	antisense
1	ENSG00000187608.5	ISG15	948803	949920	protein_coding
1	ENSG00000188157.9	AGRN	955503	991496	protein_coding
1	ENSG00000242590.1	RP11-54O7.14	990413	991496	sense_intronic
1	ENSG00000217801.4	RP11-465B22.3	995114	1004735	pseudogene
1	ENSG00000237330.2	RNF223	1006346	1009687	protein_coding
1	ENSG00000131591.13	C1orf159	1017198	1051741	protein_coding
1	ENSG00000223823.1	RP11-465B22.5	1072397	1079436	lincRNA
1	ENSG00000207730.1	MIR200B	1102484	1102578	miRNA
1	ENSG00000207607.1	MIR200A	1103243	1103332	miRNA
1	ENSG00000198976.1	MIR429	1104385	1104467	miRNA
1	ENSG00000272141.1	RP11-465B22.8	1104737	1105723	lincRNA
1	ENSG00000205231.1	TTLL10-AS1	1108436	1114935	antisense
1	ENSG00000162571.9	TTLL10	1109264	1133315	protein_coding
1	ENSG00000186891.9	TNFRSF18	1138888	1142071	protein_coding
1	ENSG00000186827.6	TNFRSF4	1146706	1149518	protein_coding
1	ENSG00000078808.12	SDF4	1152288	1167411	protein_coding
1	ENSG00000176022.3	B3GALT6	1167629	1170421	protein_coding
1	ENSG00000184163.3	FAM132A	1177826	1182102	protein_coding
1	ENSG00000260179.1	RP5-902P8.12	1185157	1186714	lincRNA
1	ENSG00000160087.16	UBE2J2	1189289	1209265	protein_coding
1	ENSG00000230415.1	RP5-902P8.10	1210603	1215800	lincRNA
1	ENSG00000162572.15	SCNN1D	1215816	1227409	protein_coding
1	ENSG00000131584.14	ACAP3	1227756	1244989	protein_coding
1	ENSG00000169972.7	PUSL1	1243947	1247057	protein_coding
1	ENSG00000127054.14	CPSF3L	1246965	1260071	protein_coding
1	ENSG00000240731.1	RP5-890O3.9	1252961	1254069	sense_intronic
1	ENSG00000224051.2	GLTPD1	1260136	1264277	protein_coding
1	ENSG00000169962.4	TAS1R3	1266694	1270686	protein_coding
1	ENSG00000107404.13	DVL1	1270656	1284730	protein_coding
1	ENSG00000162576.11	MXRA8	1288069	1297157	protein_coding
1	ENSG00000175756.9	AURKAIP1	1309110	1310875	protein_coding
1	ENSG00000223663.2	RP5-890O3.3	1314046	1314412	pseudogene
1	ENSG00000221978.7	CCNL2	1321091	1334708	protein_coding
1	ENSG00000224870.3	RP4-758J18.2	1334902	1337426	protein_coding
1	ENSG00000242485.1	MRPL20	1337288	1342693	protein_coding
1	ENSG00000264293.1	RN7SL657P	1340841	1341132	misc_RNA
1	ENSG00000272455.1	RP4-758J18.13	1344476	1345998	lincRNA
1	ENSG00000235098.4	ANKRD65	1353800	1357149	protein_coding
1	ENSG00000225905.1	RP4-758J18.7	1355625	1358071	antisense
1	ENSG00000205116.3	TMEM88B	1361508	1363167	protein_coding
1	ENSG00000225285.1	RP4-758J18.10	1365919	1369953	lincRNA
1	ENSG00000179403.10	VWA1	1370241	1378262	protein_coding
1	ENSG00000215915.5	ATAD3C	1385069	1405538	protein_coding
1	ENSG00000160072.14	ATAD3B	1407143	1433228	protein_coding
1	ENSG00000197785.9	ATAD3A	1447531	1470067	protein_coding
1	ENSG00000205090.4	TMEM240	1470554	1475833	protein_coding
1	ENSG00000160075.10	SSU72	1477053	1510249	protein_coding
1	ENSG00000215791.2	AL645728.2	1497726	1499904	pseudogene
1	ENSG00000215014.3	AL645728.1	1510355	1511373	protein_coding
1	ENSG00000236684.1	AL645728.3	1515136	1515379	pseudogene
1	ENSG00000228594.1	C1orf233	1533392	1535476	protein_coding
1	ENSG00000272106.1	RP11-345P4.9	1549138	1551175	antisense
1	ENSG00000197530.8	MIB2	1550795	1565990	protein_coding
1	ENSG00000189409.8	MMP23B	1567474	1570639	protein_coding
1	ENSG00000248333.3	CDK11B	1570603	1590473	protein_coding
1	ENSG00000272004.1	RP11-345P4.10	1590786	1594063	antisense
1	ENSG00000189339.7	SLC35E2B	1592939	1624167	protein_coding
1	ENSG00000269737.1	RP11-345P4.7	1603429	1604850	antisense
1	ENSG00000269227.1	RP11-345P4.6	1604714	1605836	pseudogene
1	ENSG00000215914.3	MMP23A	1631369	1633249	pseudogene
1	ENSG00000008128.18	CDK11A	1634169	1655766	protein_coding
1	ENSG00000268575.1	RP1-283E3.8	1634175	1669127	processed_transcript
1	ENSG00000227775.3	RP1-283E3.4	1655951	1668690	pseudogene
1	ENSG00000215790.2	SLC35E2	1656277	1677431	protein_coding
1	ENSG00000008130.11	NADK	1682671	1711896	protein_coding
1	ENSG00000078369.13	GNB1	1716729	1822495	protein_coding
1	ENSG00000231050.1	RP1-140A9.1	1822910	1824097	antisense
1	ENSG00000169885.5	CALML6	1846266	1848735	protein_coding
1	ENSG00000178821.8	TMEM52	1849029	1850712	protein_coding
1	ENSG00000142609.13	C1orf222	1853396	1935276	protein_coding
1	ENSG00000233542.1	RP11-547D24.1	1944652	1946969	antisense
1	ENSG00000187730.6	GABRD	1950780	1962192	protein_coding
1	ENSG00000226969.1	RP11-547D24.3	1980642	1981509	antisense
1	ENSG00000067606.11	PRKCZ	1981909	2116834	protein_coding
1	ENSG00000271806.1	RP5-892K4.1	2072523	2076718	antisense
1	ENSG00000182873.4	RP11-181G12.2	2113233	2115828	antisense
1	ENSG00000162585.12	C1orf86	2115903	2144159	protein_coding
1	ENSG00000269554.1	AL590822.2	2121237	2123179	protein_coding
1	ENSG00000203301.2	AL590822.1	2143360	2145620	protein_coding
1	ENSG00000243558.1	RP11-181G12.5	2143610	2144013	lincRNA
1	ENSG00000234396.3	RP11-181G12.4	2143962	2152177	lincRNA
1	ENSG00000157933.9	SKI	2160134	2241558	protein_coding
1	ENSG00000116151.9	MORN1	2252692	2323146	protein_coding
1	ENSG00000272161.1	RP4-713A8.1	2257640	2258132	sense_intronic
1	ENSG00000269753.1	AL589739.1	2258581	2259042	protein_coding
1	ENSG00000269896.1	RP4-740C4.6	2281853	2284259	processed_transcript
1	ENSG00000238240.2	RP4-740C4.5	2283083	2283296	pseudogene
1	ENSG00000272420.1	RP4-740C4.7	2294500	2295067	sense_intronic
1	ENSG00000271921.1	RP4-740C4.9	2306292	2306792	sense_intronic
1	ENSG00000271847.1	RP4-740C4.8	2309056	2309799	sense_intronic
1	ENSG00000178642.5	AL513477.1	2316811	2319922	pseudogene
1	ENSG00000157916.14	RER1	2323267	2336883	protein_coding
1	ENSG00000157911.5	PEX10	2336236	2345236	protein_coding
1	ENSG00000149527.12	PLCH2	2357419	2436969	protein_coding
1	ENSG00000224387.1	RP3-395M20.2	2423739	2424697	antisense
1	ENSG00000229393.1	RP3-395M20.3	2424876	2425918	antisense
1	ENSG00000157881.9	PANK4	2439972	2458039	protein_coding
1	ENSG00000197921.5	HES5	2460184	2461684	protein_coding
1	ENSG00000272449.1	RP3-395M20.12	2477904	2478899	lincRNA
1	ENSG00000238164.2	RP3-395M20.8	2481359	2488470	processed_transcript
1	ENSG00000157873.13	TNFRSF14	2487078	2496821	protein_coding
1	ENSG00000225931.2	RP3-395M20.7	2497849	2508811	antisense
1	ENSG00000228037.1	RP3-395M20.9	2512999	2515972	antisense
1	ENSG00000157870.10	FAM213B	2517930	2522908	protein_coding
1	ENSG00000142606.11	MMEL1	2522078	2564481	protein_coding
1	ENSG00000237058.1	RP13-436F16.1	2564007	2568059	antisense
1	ENSG00000215912.7	TTC34	2567415	2718286	protein_coding
1	ENSG00000233234.1	RP11-740P5.2	2728415	2729257	lincRNA
1	ENSG00000231630.1	RP11-740P5.3	2730997	2731563	lincRNA
1	ENSG00000169717.5	ACTRT2	2938046	2939465	protein_coding
1	ENSG00000177133.6	LINC00982	2976179	2985001	antisense
1	ENSG00000256761.1	AL008733.1	2978523	2978959	pseudogene
1	ENSG00000142611.12	PRDM16	2985732	3355185	protein_coding
1	ENSG00000226286.1	RP1-163G9.2	3049491	3050273	antisense
1	ENSG00000272235.1	RP11-22L13.1	3223200	3226660	lincRNA
1	ENSG00000130762.10	ARHGEF16	3370990	3397677	protein_coding
1	ENSG00000272088.1	RP11-168F9.2	3403810	3404191	lincRNA
1	ENSG00000162591.11	MEGF6	3406484	3528059	protein_coding
1	ENSG00000207776.1	MIR551A	3477259	3477354	miRNA
1	ENSG00000238260.1	RP11-46F15.2	3539754	3541307	antisense
1	ENSG00000158109.10	TPRG1L	3541566	3546691	protein_coding
1	ENSG00000116213.11	WRAP73	3547331	3569325	protein_coding
1	ENSG00000078900.10	TP73	3569084	3652765	protein_coding
1	ENSG00000227589.1	RP5-1092A11.5	3575502	3585336	antisense
1	ENSG00000235131.1	RP5-1092A11.2	3628764	3630862	antisense
1	ENSG00000227372.5	TP73-AS1	3652548	3663900	antisense
1	ENSG00000162592.4	CCDC27	3668962	3688209	protein_coding
1	ENSG00000235169.3	SMIM1	3689352	3692546	protein_coding
1	ENSG00000130764.5	LRRC47	3696784	3713068	protein_coding
1	ENSG00000266075.1	RN7SL574P	3699379	3699673	misc_RNA
1	ENSG00000272153.1	RP1-286D6.5	3701572	3702102	antisense
1	ENSG00000116198.8	CEP104	3728645	3773778	protein_coding
1	ENSG00000169598.11	DFFB	3773845	3801993	protein_coding
1	ENSG00000264428.1	AL691523.1	3800628	3800697	miRNA
1	ENSG00000198912.6	C1orf174	3805689	3816857	protein_coding
1	ENSG00000236423.1	RP13-15E13.1	3816936	3833789	lincRNA
1	ENSG00000233304.1	RP13-614K11.1	4000673	4015322	lincRNA
1	ENSG00000226374.1	RP13-614K11.2	4007209	4009040	lincRNA
1	ENSG00000229280.1	RP11-374C13.1	4235588	4235959	pseudogene
1	ENSG00000235054.1	RP5-1166F10.1	4472111	4484747	lincRNA
1	ENSG00000227169.2	RP1-37J18.1	4611795	4612205	lincRNA
1	ENSG00000232596.1	RP1-37J18.2	4631608	4643481	lincRNA
1	ENSG00000196581.6	AJAP1	4714792	4852594	protein_coding
1	ENSG00000231510.1	RP11-542C10.1	5146519	5150959	lincRNA
1	ENSG00000260972.1	RP1-58B11.1	5553038	5554734	lincRNA
1	ENSG00000264341.1	MIR4417	5624131	5624203	miRNA
1	ENSG00000236948.1	RP11-154H17.1	5647428	5728355	lincRNA
1	ENSG00000216045.2	AL356693.1	5875931	5876019	miRNA
1	ENSG00000264101.1	MIR4689	5922732	5922801	miRNA
1	ENSG00000131697.13	NPHP4	5922871	6052533	protein_coding
1	ENSG00000266687.1	AL356261.1	5953899	5953984	miRNA
1	ENSG00000069424.10	KCNAB2	6051526	6161253	protein_coding
1	ENSG00000268332.1	AL035406.1	6100630	6101399	protein_coding
1	ENSG00000116254.13	CHD5	6161853	6240183	protein_coding
1	ENSG00000116251.5	RPL22	6241329	6269449	protein_coding
1	ENSG00000226944.1	RP1-120G22.11	6264900	6265840	antisense
1	ENSG00000158286.8	RNF207	6265535	6281359	protein_coding
1	ENSG00000116237.11	ICMT	6281253	6296032	protein_coding
1	ENSG00000225077.2	LINC00337	6296300	6299504	antisense
1	ENSG00000173673.7	HES3	6304252	6305638	protein_coding
1	ENSG00000158292.6	GPR153	6307406	6321035	protein_coding
1	ENSG00000097021.14	ACOT7	6324333	6454451	protein_coding
1	ENSG00000271746.1	RP1-202O8.3	6453615	6454451	antisense
1	ENSG00000069812.7	HES2	6472478	6484730	protein_coding
1	ENSG00000187017.10	ESPN	6484848	6521430	protein_coding
1	ENSG00000265392.1	MIR4252	6489894	6489956	miRNA
1	ENSG00000231868.1	RP1-202O8.2	6503094	6507066	antisense
1	ENSG00000215788.5	TNFRSF25	6521211	6526255	protein_coding
1	ENSG00000171680.16	PLEKHG5	6526152	6580121	protein_coding
1	ENSG00000162408.10	NOL9	6581407	6614595	protein_coding
1	ENSG00000253022.1	RNU6-731P	6600914	6601024	snRNA
1	ENSG00000229519.2	RP11-58A11.2	6607965	6608679	pseudogene
1	ENSG00000173662.15	TAS1R1	6615241	6639817	protein_coding
1	ENSG00000204859.7	ZBTB48	6640061	6649340	protein_coding
1	ENSG00000162413.12	KLHL21	6650784	6674667	protein_coding
1	ENSG00000116273.5	PHF13	6673745	6684093	protein_coding
1	ENSG00000041988.11	THAP3	6684926	6695646	protein_coding
1	ENSG00000007923.11	DNAJC11	6694228	6761984	protein_coding
1	ENSG00000228750.1	RP11-242F24.1	6784697	6790072	lincRNA
1	ENSG00000239166.1	snoU13	6812779	6812881	snoRNA
1	ENSG00000237436.1	RP11-312B8.1	6843952	6844903	antisense
1	ENSG00000171735.14	CAMTA1	6845384	7829766	protein_coding
1	ENSG00000227950.1	RP11-312B8.2	6894393	6894678	pseudogene
1	ENSG00000237365.1	RP11-334N17.1	7068436	7074339	antisense
1	ENSG00000207056.1	RNU1-8P	7279420	7279584	snRNA
1	ENSG00000237402.1	CAMTA1-IT1	7429003	7430331	sense_intronic
1	ENSG00000237728.1	RP3-453P22.2	7442548	7449814	antisense
1	ENSG00000225126.1	RP4-549F15.1	7501156	7501614	antisense
1	ENSG00000270171.1	RP11-338N10.1	7753184	7754904	lincRNA
1	ENSG00000270035.1	RP11-338N10.2	7758363	7758932	lincRNA
1	ENSG00000269978.1	RP11-338N10.3	7760764	7761030	lincRNA
1	ENSG00000049245.8	VAMP3	7831329	7841492	protein_coding
1	ENSG00000269925.1	RP3-467L1.6	7836443	7836835	sense_intronic
1	ENSG00000049246.10	PER3	7844380	7905237	protein_coding
1	ENSG00000236266.1	RP3-467L1.4	7870302	7887402	antisense
1	ENSG00000049247.9	UTS2	7903143	7913572	protein_coding
1	ENSG00000049249.4	TNFRSF9	7979907	8000926	protein_coding
1	ENSG00000270330.1	RP5-892F13.2	8002432	8002786	pseudogene
1	ENSG00000116288.8	PARK7	8014351	8045565	protein_coding
1	ENSG00000200344.1	Y_RNA	8042941	8043043	misc_RNA
1	ENSG00000116285.8	ERRFI1	8064464	8086368	protein_coding
1	ENSG00000238290.1	RP11-431K24.1	8086798	8182762	lincRNA
1	ENSG00000232848.1	CTA-215D11.4	8117305	8118523	pseudogene
1	ENSG00000229305.1	RP11-431K24.2	8249884	8252830	pseudogene
1	ENSG00000200975.1	RNU1-7P	8266494	8266657	snRNA
1	ENSG00000227634.1	RP11-431K24.3	8268732	8275270	lincRNA
1	ENSG00000233645.1	RP11-431K24.4	8278250	8280589	lincRNA
1	ENSG00000265414.1	RN7SL729P	8335184	8335438	misc_RNA
1	ENSG00000251977.1	RNU6-991P	8352217	8352323	snRNA
1	ENSG00000162426.10	SLC45A1	8377886	8404227	protein_coding
1	ENSG00000252254.1	Y_RNA	8388127	8388239	misc_RNA
1	ENSG00000142599.13	RERE	8412457	8877702	protein_coding
1	ENSG00000232912.1	RP5-1115A15.1	8484705	8494898	antisense
1	ENSG00000221083.1	SNORA77	8571854	8571978	snoRNA
1	ENSG00000270282.1	RP5-1115A15.2	8572712	8573080	pseudogene
1	ENSG00000234619.1	RP4-633I8.1	8810489	8811146	pseudogene
1	ENSG00000224315.2	RP4-633I8.2	8846270	8846972	pseudogene
1	ENSG00000222511.1	Y_RNA	8856633	8856731	misc_RNA
1	ENSG00000226545.1	RP4-633I8.3	8858534	8859565	pseudogene
1	ENSG00000228423.1	RP4-633I8.4	8865919	8867110	lincRNA
1	ENSG00000229716.2	RP11-185B14.1	8891066	8891434	pseudogene
1	ENSG00000074800.9	ENO1	8921061	8939308	protein_coding
1	ENSG00000236269.1	ENO1-IT1	8935847	8938066	sense_intronic
1	ENSG00000230679.1	ENO1-AS1	8938894	8939953	antisense
1	ENSG00000201725.1	RNU6-304P	8943486	8943592	snRNA
1	ENSG00000238249.1	HMGN2P17	8953468	8954210	pseudogene
1	ENSG00000232208.2	RP3-477M7.5	8967452	8967803	pseudogene
1	ENSG00000232663.2	RP3-477M7.6	8969801	8969963	pseudogene
1	ENSG00000131686.9	CA6	9005922	9035151	protein_coding
1	ENSG00000265141.1	RN7SL451P	9039637	9039933	misc_RNA
1	ENSG00000197241.3	SLC2A7	9063359	9086404	protein_coding
1	ENSG00000142583.13	SLC2A5	9095166	9148537	protein_coding
1	ENSG00000252404.1	SCARNA16	9142755	9142938	snoRNA
1	ENSG00000180758.10	GPR157	9160364	9189229	protein_coding
1	ENSG00000207865.1	MIR34A	9211727	9211836	miRNA
1	ENSG00000228526.1	RP3-510D11.1	9228327	9262678	antisense
1	ENSG00000234546.2	RP3-510D11.2	9242263	9252148	lincRNA
1	ENSG00000049239.8	H6PD	9294834	9331396	protein_coding
1	ENSG00000252841.1	Z98044.1	9338450	9338592	miRNA
1	ENSG00000171621.9	SPSB1	9352939	9429591	protein_coding
1	ENSG00000252956.1	RNA5SP40	9497728	9497837	rRNA
1	ENSG00000235263.1	RP13-392I16.1	9561151	9563530	lincRNA
1	ENSG00000171612.6	SLC25A33	9599541	9645237	protein_coding
1	ENSG00000231181.1	RP13-15M17.1	9636485	9637043	pseudogene
1	ENSG00000188807.8	TMEM201	9648932	9674935	protein_coding
1	ENSG00000171608.11	PIK3CD	9711790	9789172	protein_coding
1	ENSG00000179840.5	C1orf200	9712668	9714644	protein_coding
1	ENSG00000233268.3	RP11-558F24.2	9720886	9722684	pseudogene
1	ENSG00000231789.2	RP11-558F24.4	9732484	9747613	antisense
1	ENSG00000171603.12	CLSTN1	9789084	9884584	protein_coding
1	ENSG00000271264.1	RP11-558F24.6	9840880	9841298	pseudogene
1	ENSG00000178585.10	CTNNBIP1	9908334	9970394	protein_coding
1	ENSG00000223989.1	RP11-84A14.5	9908376	9910212	antisense
1	ENSG00000162441.7	LZIC	9982173	10003465	protein_coding
1	ENSG00000228150.1	RP11-84A14.4	10002981	10010032	sense_intronic
1	ENSG00000173614.9	NMNAT1	10003486	10045559	protein_coding
1	ENSG00000202415.1	RN7SKP269	10007376	10007694	misc_RNA
1	ENSG00000265521.1	MIR5697	10027439	10027516	miRNA
1	ENSG00000241326.1	RP11-807G9.2	10043199	10044626	sense_intronic
1	ENSG00000162444.11	RBP7	10057264	10076078	protein_coding
1	ENSG00000225786.2	AL590639.1	10078085	10078592	pseudogene
1	ENSG00000130939.14	UBE4B	10092890	10241297	protein_coding
1	ENSG00000224340.1	RP11-496H15.2	10114503	10114839	pseudogene
1	ENSG00000233623.2	PGAM1P11	10118729	10119706	pseudogene
1	ENSG00000201746.1	RNU6-828P	10223326	10223432	snRNA
1	ENSG00000054523.12	KIF1B	10270863	10441661	protein_coding
1	ENSG00000264881.1	MIR1273D	10287776	10287861	miRNA
1	ENSG00000199562.1	RNU6-37P	10359024	10359130	snRNA
1	ENSG00000264501.1	RN7SL731P	10366523	10366813	misc_RNA
1	ENSG00000265945.1	RN7SL721P	10450059	10450353	misc_RNA
1	ENSG00000142657.16	PGD	10458649	10480201	protein_coding
1	ENSG00000271989.1	RP4-736L20.3	10489938	10490734	antisense
1	ENSG00000175279.17	APITD1	10490159	10512210	protein_coding
1	ENSG00000251503.3	APITD1-CORT	10490159	10512210	protein_coding
1	ENSG00000241563.2	CORT	10509776	10511959	protein_coding
1	ENSG00000160049.7	DFFA	10516579	10532583	protein_coding
1	ENSG00000203469.2	RP5-1113E3.3	10518612	10519395	antisense
1	ENSG00000142655.8	PEX14	10532345	10690815	protein_coding
1	ENSG00000243267.2	RN7SL614P	10676893	10677170	misc_RNA
1	ENSG00000130940.10	CASZ1	10696661	10856707	protein_coding
1	ENSG00000272078.1	RP4-734G22.3	10699298	10714390	antisense
1	ENSG00000225158.2	RP11-340B24.3	10955818	10956055	pseudogene
1	ENSG00000175262.10	C1orf127	11006528	11042094	protein_coding
1	ENSG00000215785.2	CFL1P6	11051035	11051854	pseudogene
1	ENSG00000264181.1	AL713997.1	11058233	11058320	miRNA
1	ENSG00000207213.1	Y_RNA	11059919	11060002	misc_RNA
1	ENSG00000120948.11	TARDBP	11072414	11085796	protein_coding
1	ENSG00000009724.12	MASP2	11086580	11107290	protein_coding
1	ENSG00000271895.1	RP4-635E18.8	11089716	11090585	antisense
1	ENSG00000116649.5	SRM	11114641	11120081	protein_coding
1	ENSG00000171824.9	EXOSC10	11126675	11159938	protein_coding
1	ENSG00000226849.1	RP4-635E18.7	11128528	11133154	antisense
1	ENSG00000230337.1	RP4-635E18.6	11159732	11162157	antisense
1	ENSG00000198793.8	MTOR	11166592	11322564	protein_coding
1	ENSG00000225602.1	MTOR-AS1	11203955	11209594	antisense
1	ENSG00000253086.1	RNU6-537P	11212407	11212509	snRNA
1	ENSG00000271794.1	snoU13	11229564	11229670	snoRNA
1	ENSG00000171819.4	ANGPTL7	11249398	11256038	protein_coding
1	ENSG00000207451.1	RNU6-291P	11286311	11286417	snRNA
1	ENSG00000238173.1	RPL39P6	11293020	11293169	pseudogene
1	ENSG00000120942.9	UBIAD1	11333263	11356106	protein_coding
1	ENSG00000238199.1	UBE2V2P3	11338673	11339408	pseudogene
1	ENSG00000224338.2	RP11-149P14.1	11485314	11485878	pseudogene
1	ENSG00000204624.6	PTCHD2	11539223	11597641	protein_coding
1	ENSG00000235643.1	RP1-69M21.2	11669588	11673412	lincRNA
1	ENSG00000116661.9	FBXO2	11708424	11715842	protein_coding
1	ENSG00000132879.9	FBXO44	11714432	11723384	protein_coding
1	ENSG00000116663.6	FBXO6	11724181	11734411	protein_coding
1	ENSG00000116670.10	MAD2L2	11734537	11751707	protein_coding
1	ENSG00000162490.6	DRAXIN	11751786	11785914	protein_coding
1	ENSG00000177674.11	AGTRAP	11796141	11814859	protein_coding
1	ENSG00000215910.3	C1orf167	11821844	11849642	protein_coding
1	ENSG00000177553.6	RP11-56N19.5	11837134	11839676	antisense
1	ENSG00000177000.6	MTHFR	11845780	11866977	protein_coding
1	ENSG00000011021.17	CLCN6	11866207	11903201	protein_coding
1	ENSG00000242349.1	NPPA-AS1	11901074	11908136	antisense
1	ENSG00000175206.6	NPPA	11905766	11908402	protein_coding
1	ENSG00000120937.8	NPPB	11917521	11918988	protein_coding
1	ENSG00000224904.1	RP5-934G17.6	11937827	11940463	pseudogene
1	ENSG00000199347.1	RNU5E-1	11968209	11968328	snRNA
1	ENSG00000201801.1	RNU5E-4P	11969865	11969984	snRNA
1	ENSG00000116685.11	KIAA2013	11979648	11986485	protein_coding
1	ENSG00000083444.12	PLOD1	11994262	12035595	protein_coding
1	ENSG00000116688.12	MFN2	12040238	12073571	protein_coding
1	ENSG00000270914.1	RP5-1077B9.5	12077273	12077365	pseudogene
1	ENSG00000116691.6	MIIP	12079523	12092102	protein_coding
1	ENSG00000202461.1	Y_RNA	12084069	12084181	misc_RNA
1	ENSG00000243539.2	RN7SL649P	12096799	12097071	misc_RNA
1	ENSG00000120949.10	TNFRSF8	12123434	12204264	protein_coding
1	ENSG00000201135.1	RNU6-777P	12137938	12138041	snRNA
1	ENSG00000227875.2	RP11-426M1.2	12140350	12140604	pseudogene
1	ENSG00000028137.12	TNFRSF1B	12227060	12269285	protein_coding
1	ENSG00000263676.1	MIR4632	12251770	12251830	miRNA
1	ENSG00000225196.2	RP5-1118D24.2	12280851	12281166	pseudogene
